m,y,tipo,t,nombremes
3,1970,max,17,Marzo
4,1970,max,23.5,Abril
4,1970,max,25,Abril
4,1970,max,25,Abril
4,1970,max,27,Abril
4,1970,max,30,Abril
4,1970,max,24.5,Abril
4,1970,max,20.5,Abril
4,1970,max,23,Abril
4,1970,max,25,Abril
4,1970,max,31,Abril
4,1970,max,28,Abril
4,1970,max,26.5,Abril
4,1970,max,19.5,Abril
4,1970,max,16,Abril
4,1970,max,18.5,Abril
4,1970,max,13.5,Abril
4,1970,max,14,Abril
4,1970,max,19.5,Abril
4,1970,max,20,Abril
4,1970,max,21,Abril
4,1970,max,12.5,Abril
4,1970,max,17,Abril
4,1970,max,27,Abril
4,1970,max,29,Abril
4,1970,max,26.5,Abril
4,1970,max,18.5,Abril
4,1970,max,12.5,Abril
4,1970,max,13,Abril
4,1970,max,19,Abril
4,1970,max,23.5,Abril
5,1970,max,29,Mayo
5,1970,max,30.5,Mayo
5,1970,max,34,Mayo
5,1970,max,30,Mayo
5,1970,max,27,Mayo
5,1970,max,19.5,Mayo
5,1970,max,21,Mayo
5,1970,max,29.5,Mayo
5,1970,max,24,Mayo
5,1970,max,26,Mayo
5,1970,max,25.5,Mayo
5,1970,max,26.5,Mayo
5,1970,max,28,Mayo
5,1970,max,27,Mayo
5,1970,max,37.5,Mayo
5,1970,max,37,Mayo
5,1970,max,39.5,Mayo
5,1970,max,34,Mayo
5,1970,max,28,Mayo
5,1970,max,24,Mayo
5,1970,max,24,Mayo
5,1970,max,26,Mayo
5,1970,max,27.5,Mayo
5,1970,max,22.5,Mayo
5,1970,max,21.5,Mayo
5,1970,max,22,Mayo
5,1970,max,22,Mayo
5,1970,max,23.5,Mayo
5,1970,max,26,Mayo
5,1970,max,22.5,Mayo
5,1970,max,30,Mayo
6,1970,max,37.5,Junio
6,1970,max,40.5,Junio
6,1970,max,36,Junio
6,1970,max,24.5,Junio
6,1970,max,23.5,Junio
6,1970,max,25,Junio
6,1970,max,25,Junio
6,1970,max,23,Junio
6,1970,max,24.5,Junio
6,1970,max,20.5,Junio
6,1970,max,25.5,Junio
6,1970,max,19.5,Junio
6,1970,max,22.5,Junio
6,1970,max,25.5,Junio
6,1970,max,25,Junio
6,1970,max,26.5,Junio
6,1970,max,28,Junio
6,1970,max,31.5,Junio
6,1970,max,34.5,Junio
6,1970,max,33.5,Junio
6,1970,max,30,Junio
6,1970,max,31.5,Junio
6,1970,max,33,Junio
6,1970,max,37.5,Junio
6,1970,max,38.5,Junio
6,1970,max,38,Junio
6,1970,max,35,Junio
6,1970,max,29.5,Junio
6,1970,max,26.5,Junio
6,1970,max,30,Junio
7,1970,max,35,Julio
7,1970,max,38,Julio
7,1970,max,38.5,Julio
7,1970,max,38,Julio
7,1970,max,36.5,Julio
7,1970,max,34.5,Julio
7,1970,max,36,Julio
7,1970,max,33.5,Julio
7,1970,max,33,Julio
7,1970,max,31.5,Julio
7,1970,max,35,Julio
7,1970,max,33.5,Julio
7,1970,max,35,Julio
7,1970,max,34.5,Julio
7,1970,max,34.5,Julio
7,1970,max,36.5,Julio
7,1970,max,34,Julio
7,1970,max,36.5,Julio
7,1970,max,34,Julio
7,1970,max,34,Julio
7,1970,max,35.5,Julio
7,1970,max,35,Julio
7,1970,max,34,Julio
7,1970,max,31,Julio
7,1970,max,32,Julio
7,1970,max,34.5,Julio
7,1970,max,33.5,Julio
