"","Meses","mes","año","mesp"
"323","Agosto",8,"1983",19.4
"324","Agosto",8,"1984",4.2
"325","Agosto",8,"1985",0
"326","Agosto",8,"1986",1.5
"327","Agosto",8,"1987",2
"328","Agosto",8,"1988",0
"329","Agosto",8,"1989",0
"330","Agosto",8,"1990",0.2
"331","Agosto",8,"1991",0
"332","Agosto",8,"1992",19.3
"333","Agosto",8,"1993",0
"334","Agosto",8,"1994",21
"335","Agosto",8,"1995",0
"336","Agosto",8,"1996",10
"337","Agosto",8,"1997",0.3
"338","Agosto",8,"1998",30.6
"339","Agosto",8,"1999",0
"340","Agosto",8,"2000",0
"341","Agosto",8,"2001",2
"342","Agosto",8,"2002",0
"343","Agosto",8,"2003",2.5
"344","Agosto",8,"2004",4
"345","Agosto",8,"2005",1.5
"346","Agosto",8,"2006",0
"347","Agosto",8,"2007",0
"348","Agosto",8,"2008",9.9
"349","Agosto",8,"2009",1.2
"350","Agosto",8,"2010",0
"351","Agosto",8,"2011",0
"352","Agosto",8,"2012",5.2
"353","Septiembre",9,"1969",0
"354","Septiembre",9,"1970",0
"355","Septiembre",9,"1971",6
"356","Septiembre",9,"1972",1.5
"357","Septiembre",9,"1973",0
"358","Septiembre",9,"1975",0.6
"359","Septiembre",9,"1976",92.4
"360","Septiembre",9,"1977",0
"361","Septiembre",9,"1978",8.5
"362","Septiembre",9,"1979",0
"363","Septiembre",9,"1980",0
"364","Septiembre",9,"1981",2.3
"365","Septiembre",9,"1982",3.6
"366","Septiembre",9,"1983",20
"367","Septiembre",9,"1984",0
"368","Septiembre",9,"1985",21
"369","Septiembre",9,"1986",6
"370","Septiembre",9,"1987",9.5
"371","Septiembre",9,"1988",0
"372","Septiembre",9,"1989",1.1
"373","Septiembre",9,"1990",0.1
"374","Septiembre",9,"1991",0.5
"375","Septiembre",9,"1992",0
"376","Septiembre",9,"1993",0
"377","Septiembre",9,"1994",0
"378","Septiembre",9,"1995",6.7
"379","Septiembre",9,"1996",0
"380","Septiembre",9,"1997",26.1
"381","Septiembre",9,"1998",4.1
"382","Septiembre",9,"1999",0.3
"383","Septiembre",9,"2000",2
"384","Septiembre",9,"2001",1.5
"385","Septiembre",9,"2002",14
"386","Septiembre",9,"2003",0.5
"387","Septiembre",9,"2004",5
"388","Septiembre",9,"2005",0
"389","Septiembre",9,"2006",0.8
"390","Septiembre",9,"2007",1.5
"391","Septiembre",9,"2008",0
"392","Septiembre",9,"2009",5
"393","Septiembre",9,"2010",0
"394","Septiembre",9,"2011",0
"395","Septiembre",9,"2012",8
"396","Octubre",10,"1969",0
"397","Octubre",10,"1970",2
"398","Octubre",10,"1971",24.5
"399","Octubre",10,"1972",52.5
"400","Octubre",10,"1973",0
"401","Octubre",10,"1974",27
"402","Octubre",10,"1975",1
"403","Octubre",10,"1976",2.9
"404","Octubre",10,"1977",19.8
"405","Octubre",10,"1978",0
"406","Octubre",10,"1979",9.5
"407","Octubre",10,"1980",0
"408","Octubre",10,"1981",2
"410","Octubre",10,"1983",45
"411","Octubre",10,"1984",1.8
"412","Octubre",10,"1985",28.7
"413","Octubre",10,"1986",13
"414","Octubre",10,"1987",102
"415","Octubre",10,"1988",0.5
"417","Octubre",10,"1990",0.1
"418","Octubre",10,"1991",14.6
"419","Octubre",10,"1992",6.1
"420","Octubre",10,"1993",2.1
"421","Octubre",10,"1994",0.2
"422","Octubre",10,"1995",0.1
"423","Octubre",10,"1996",0.1
"424","Octubre",10,"1997",1.1
"425","Octubre",10,"1998",4.6
"426","Octubre",10,"1999",0
"427","Octubre",10,"2000",12
"428","Octubre",10,"2001",0
"429","Octubre",10,"2002",0.5
"430","Octubre",10,"2003",0
"431","Octubre",10,"2004",143.5
"432","Octubre",10,"2005",9
"433","Octubre",10,"2006",3.5
"434","Octubre",10,"2007",0
"435","Octubre",10,"2008",0
"436","Octubre",10,"2009",0
"437","Octubre",10,"2010",47.2
"438","Octubre",10,"2011",4.9
"439","Octubre",10,"2012",1.3
"440","Noviembre",11,"1969",13.2
"441","Noviembre",11,"1970",27
"442","Noviembre",11,"1971",1
"443","Noviembre",11,"1972",47
"444","Noviembre",11,"1973",27.5
"445","Noviembre",11,"1974",3.7
"446","Noviembre",11,"1975",29.3
"447","Noviembre",11,"1976",48.2
"448","Noviembre",11,"1977",6.5
"449","Noviembre",11,"1978",91.3
"450","Noviembre",11,"1979",6.7
"451","Noviembre",11,"1980",0
"452","Noviembre",11,"1981",32.5
"453","Noviembre",11,"1982",76.6
"454","Noviembre",11,"1983",54
"457","Noviembre",11,"1986",8
"458","Noviembre",11,"1987",46.5
"459","Noviembre",11,"1988",11
"460","Noviembre",11,"1989",0.2
"462","Noviembre",11,"1991",7
"463","Noviembre",11,"1992",0
"464","Noviembre",11,"1993",20.5
"465","Noviembre",11,"1994",12.6
"466","Noviembre",11,"1995",4.5
"467","Noviembre",11,"1996",15.1
"468","Noviembre",11,"1997",53.1
"469","Noviembre",11,"1998",19.1
"470","Noviembre",11,"1999",0
"471","Noviembre",11,"2000",13.5
"472","Noviembre",11,"2001",10.5
"473","Noviembre",11,"2002",18.5
"474","Noviembre",11,"2003",14
"475","Noviembre",11,"2004",25.5
"476","Noviembre",11,"2005",0
"477","Noviembre",11,"2006",0.4
"478","Noviembre",11,"2007",50
"479","Noviembre",11,"2008",43
"480","Noviembre",11,"2009",13.5
"481","Noviembre",11,"2010",16.5
"482","Noviembre",11,"2011",74.3
"483","Diciembre",12,"1969",11.4
"484","Diciembre",12,"1970",65.5
"485","Diciembre",12,"1971",44.5
"486","Diciembre",12,"1972",40
"487","Diciembre",12,"1973",3.5
"488","Diciembre",12,"1974",24
"489","Diciembre",12,"1975",7.5
"490","Diciembre",12,"1976",34.2
"491","Diciembre",12,"1977",92.9
"492","Diciembre",12,"1978",72.7
"493","Diciembre",12,"1979",21.5
"495","Diciembre",12,"1981",7.5
"496","Diciembre",12,"1982",73
"500","Diciembre",12,"1986",29
"501","Diciembre",12,"1987",55
"502","Diciembre",12,"1988",34.2
"503","Diciembre",12,"1989",3.4
"504","Diciembre",12,"1990",31.6
"505","Diciembre",12,"1991",38.6
"506","Diciembre",12,"1992",123.2
"507","Diciembre",12,"1993",22.6
"508","Diciembre",12,"1994",32.2
"509","Diciembre",12,"1995",11.7
"510","Diciembre",12,"1996",10.5
"511","Diciembre",12,"1997",85
"512","Diciembre",12,"1998",21.8
"513","Diciembre",12,"1999",6
